"Team","Recruits","Class_Points","Conference","Year"
"Florida State",20,270.91,"ACC","2005"
"Miami",15,237.42,"ACC","2005"
"Virginia",23,205.09,"ACC","2005"
"Clemson",25,202.65,"ACC","2005"
"Virginia Tech",23,200.45,"ACC","2005"
"N.C. State",19,182.28,"ACC","2005"
"Louisville",25,172.46,"ACC","2005"
"North Carolina",25,147.93,"ACC","2005"
"Duke",23,147.6,"ACC","2005"
"Pittsburgh",23,147.43,"ACC","2005"
"Boston College",15,135,"ACC","2005"
"Georgia Tech",18,117.72,"ACC","2005"
"Syracuse",16,116.85,"ACC","2005"
"Wake Forest",18,110.13,"ACC","2005"
"Oklahoma",22,273.97,"Big-12","2005"
"Texas A&M",25,222.99,"Big-12","2005"
"Texas",14,208.71,"Big-12","2005"
"Kansas State",25,167.94,"Big-12","2005"
"Texas Tech",21,164.31,"Big-12","2005"
"Missouri",23,162.65,"Big-12","2005"
"West Virginia",31,162.3,"Big-12","2005"
"Kansas",27,155.53,"Big-12","2005"
"Iowa State",21,149.92,"Big-12","2005"
"Oklahoma State",21,141.5,"Big-12","2005"
"TCU",22,139.76,"Big-12","2005"
"Baylor",21,111.43,"Big-12","2005"
"SMU",26,123.51,"AAC","2005"
"USF",21,123.35,"AAC","2005"
"Tulsa",21,123.24,"AAC","2005"
"UCF",25,112.75,"AAC","2005"
"Connecticut",25,109.19,"AAC","2005"
"Houston",21,99.6,"AAC","2005"
"Cincinnati",26,91.9,"AAC","2005"
"Memphis",29,90.83,"AAC","2005"
"Tulane",19,79.25,"AAC","2005"
"East Carolina",23,64.24,"AAC","2005"
"Temple",27,59.58,"AAC","2005"
"Michigan",22,263.4,"Big-Ten","2005"
"Iowa",22,245.41,"Big-Ten","2005"
"Nebraska",31,240.37,"Big-Ten","2005"
"Penn State",19,187.47,"Big-Ten","2005"
"Purdue",20,186.73,"Big-Ten","2005"
"Maryland",22,185.15,"Big-Ten","2005"
"Wisconsin",21,172.93,"Big-Ten","2005"
"Michigan State",25,170.24,"Big-Ten","2005"
"Illinois",18,146.14,"Big-Ten","2005"
"Northwestern",20,132.12,"Big-Ten","2005"
"Minnesota",20,130.82,"Big-Ten","2005"
"Rutgers",21,119.11,"Big-Ten","2005"
"Ohio State",6,109.84,"Big-Ten","2005"
"Indiana",23,96.7,"Big-Ten","2005"
"Southern Miss",23,113.66,"C-USA","2005"
"UTEP",23,112.13,"C-USA","2005"
"Marshall",25,103.77,"C-USA","2005"
"UAB",27,102.97,"C-USA","2005"
"Middle Tennessee State",25,96.63,"C-USA","2005"
"Louisiana Tech",19,85.95,"C-USA","2005"
"North Texas",24,81.42,"C-USA","2005"
"Rice",19,79.76,"C-USA","2005"
"Florida Atlantic",6,28.65,"C-USA","2005"
"FIU",8,26.01,"C-USA","2005"
"Notre Dame",14,168.56,"IND","2005"
"Brigham Young",16,123.78,"IND","2005"
"Navy",11,36.56,"IND","2005"
"Army",7,17.46,"IND","2005"
"Northern Illinois",24,98.12,"MAC","2005"
"Akron",23,88.15,"MAC","2005"
"Western Michigan",19,88.12,"MAC","2005"
"Bowling Green",21,77.32,"MAC","2005"
"Buffalo",17,74.63,"MAC","2005"
"Ohio",28,72.6,"MAC","2005"
"Ball State",17,71.8,"MAC","2005"
"Central Michigan",25,71.59,"MAC","2005"
"Miami (OH)",13,69.73,"MAC","2005"
"Toledo",22,64.94,"MAC","2005"
"Kent State",23,64.82,"MAC","2005"
"Eastern Michigan",18,28.36,"MAC","2005"
"Massachusetts",1,0,"MAC","2005"
"San Diego State",28,155.45,"M-West","2005"
"Boise State",16,112.74,"M-West","2005"
"UNLV",28,107.1,"M-West","2005"
"Hawaii",17,103.51,"M-West","2005"
"Fresno State",21,96.34,"M-West","2005"
"Colorado State",18,92.39,"M-West","2005"
"New Mexico",17,85.29,"M-West","2005"
"Nevada",21,80.62,"M-West","2005"
"Wyoming",20,58.44,"M-West","2005"
"Utah State",22,56.86,"M-West","2005"
"Air Force",16,49.33,"M-West","2005"
"San Jose State",8,44.52,"M-West","2005"
"USC",17,282.5,"Pac-12","2005"
"California",25,235.48,"Pac-12","2005"
"Arizona",21,206.31,"Pac-12","2005"
"UCLA",21,191.2,"Pac-12","2005"
"Stanford",17,185.93,"Pac-12","2005"
"Oregon",21,177.41,"Pac-12","2005"
"Arizona State",21,169.53,"Pac-12","2005"
"Colorado",25,162.75,"Pac-12","2005"
"Washington State",21,158.13,"Pac-12","2005"
"Oregon State",27,144.31,"Pac-12","2005"
"Utah",25,124.85,"Pac-12","2005"
"Washington",13,117.03,"Pac-12","2005"
"Tennessee",21,271.37,"SEC","2005"
"Georgia",17,247.88,"SEC","2005"
"Florida",17,218.56,"SEC","2005"
"LSU",13,208.85,"SEC","2005"
"Auburn",21,203.47,"SEC","2005"
"South Carolina",27,202.23,"SEC","2005"
"Alabama",28,194.97,"SEC","2005"
"Arkansas",20,179.49,"SEC","2005"
"Ole Miss",28,173.73,"SEC","2005"
"Mississippi State",27,170.64,"SEC","2005"
"Vanderbilt",25,89.9,"SEC","2005"
"Kentucky",26,0,"SEC","2005"
"Louisiana-Lafayette",20,94.87,"SBC","2005"
