"Game_Num","Week","Date","Time","Day","Home","Location","Away","Notes","Neutral"
"1","1","Sep 3, 2015","10:00 PM","Thu","(22) Arizona","","Texas-San Antonio","",0
"2","1","Sep 3, 2015","7:00 PM","Thu","Ball State","","Virginia Military Institute","",0
"3","1","Sep 3, 2015","7:30 PM","Thu","Connecticut","","Villanova","",0
"4","1","Sep 3, 2015","9:30 PM","Thu","Duke","@","Tulane","",0
"5","1","Sep 3, 2015","6:00 PM","Thu","Florida International","@","Central Florida","",0
"6","1","Sep 3, 2015","10:00 PM","Thu","Fresno State","","Abilene Christian","",0
"7","1","Sep 3, 2015","7:30 PM","Thu","(16) Georgia Tech","","Alcorn State","",0
"8","1","Sep 3, 2015","11:59 PM","Thu","Hawaii","","Colorado","",0
"9","1","Sep 3, 2015","10:00 PM","Thu","Nevada","","California-Davis","",0
"10","1","Sep 3, 2015","9:00 PM","Thu","Ohio","@","Idaho","",0
"11","1","Sep 3, 2015","7:00 PM","Thu","Oklahoma State","@","Central Michigan","",0
"12","1","Sep 3, 2015","10:00 PM","Thu","San Jose State","","New Hampshire","",0
"13","1","Sep 3, 2015","6:00 PM","Thu","South Carolina","","North Carolina","",0
"14","1","Sep 3, 2015","9:00 PM","Thu","(2) Texas Christian","@","Minnesota","",0
"15","1","Sep 3, 2015","8:30 PM","Thu","Utah","","Michigan","",0
"16","1","Sep 3, 2015","9:00 PM","Thu","Utah State","","Southern Utah","",0
"17","1","Sep 3, 2015","7:00 PM","Thu","Wake Forest","","Elon","",0
"18","1","Sep 3, 2015","8:00 PM","Thu","Western Kentucky","@","Vanderbilt","",0
"19","1","Sep 4, 2015","7:00 PM","Fri","(4) Baylor","@","Southern Methodist","",0
"20","1","Sep 4, 2015","10:15 PM","Fri","(23) Boise State","","Washington","",0
"21","1","Sep 4, 2015","3:30 PM","Fri","Charlotte","@","Georgia State","",0
"22","1","Sep 4, 2015","7:00 PM","Fri","Fordham","@","Army","",0
"23","1","Sep 4, 2015","9:00 PM","Fri","Kent State","@","Illinois","",0
"24","1","Sep 4, 2015","7:00 PM","Fri","(5) Michigan State","@","Western Michigan","",0
"25","1","Sep 4, 2015","8:00 PM","Fri","Oregon State","","Weber State","",0
"26","1","Sep 4, 2015","7:00 PM","Fri","Syracuse","","Rhode Island","",0
"27","1","Sep 5, 2015","3:30 PM","Sat","Air Force","","Morgan State","",0
"28","1","Sep 5, 2015","8:00 PM","Sat","(3) Alabama","","(20) Wisconsin","",0
"29","1","Sep 5, 2015","3:30 PM","Sat","Appalachian State","","Howard","",0
"30","1","Sep 5, 2015","3:30 PM","Sat","(18) Arkansas","","Texas-El Paso","",0
"31","1","Sep 5, 2015","3:30 PM","Sat","(6) Auburn","","Louisville","",0
"32","1","Sep 5, 2015","1:00 PM","Sat","Boston College","","Maine","",0
"33","1","Sep 5, 2015","3:30 PM","Sat","Brigham Young","@","Nebraska","",0
"34","1","Sep 5, 2015","3:30 PM","Sat","Buffalo","","Albany","",0
"35","1","Sep 5, 2015","5:00 PM","Sat","California","","Grambling State","",0
"36","1","Sep 5, 2015","7:00 PM","Sat","Cincinnati","","Alabama A&M","",0
"37","1","Sep 5, 2015","12:30 PM","Sat","(12) Clemson","","Wofford","",0
"38","1","Sep 5, 2015","4:00 PM","Sat","Colorado State","","Savannah State","",0
"39","1","Sep 5, 2015","6:00 PM","Sat","East Carolina","","Towson","",0
"40","1","Sep 5, 2015","7:30 PM","Sat","Florida","","New Mexico State","",0
"41","1","Sep 5, 2015","8:00 PM","Sat","(10) Florida State","","Texas State","",0
"42","1","Sep 5, 2015","12:00 PM","Sat","(9) Georgia","","Louisiana-Monroe","",0
"43","1","Sep 5, 2015","8:00 PM","Sat","Houston","","Tennessee Tech","",0
"44","1","Sep 5, 2015","2:00 PM","Sat","Illinois","","Kent State","",0
"45","1","Sep 5, 2015","4:00 PM","Sat","Indiana","","Southern Illinois","",0
"46","1","Sep 5, 2015","12:00 PM","Sat","Iowa","","Illinois State","",0
"47","1","Sep 5, 2015","8:00 PM","Sat","Iowa State","","Northern Iowa","",0
"48","1","Sep 5, 2015","7:10 PM","Sat","Kansas State","","South Dakota","",0
"49","1","Sep 5, 2015","7:00 PM","Sat","Kentucky","","Louisiana-Lafayette","",0
"50","1","Sep 5, 2015","7:00 PM","Sat","Louisiana Tech","","Southern","",0
"51","1","Sep 5, 2015","12:00 PM","Sat","Maryland","","Richmond","",0
"52","1","Sep 5, 2015","7:30 PM","Sat","McNeese State","@","(14) Louisiana State","",0
"53","1","Sep 5, 2015","7:00 PM","Sat","Memphis","","Missouri State","",0
"54","1","Sep 5, 2015","6:00 PM","Sat","Miami (FL)","","Bethune-Cookman","",0
"55","1","Sep 5, 2015","3:30 PM","Sat","Miami (OH)","","Presbyterian","",0
"56","1","Sep 5, 2015","7:00 PM","Sat","Middle Tennessee State","","Jackson State","",0
"57","1","Sep 5, 2015","12:00 PM","Sat","(17) Mississippi","","Tennessee-Martin","",0
"58","1","Sep 5, 2015","10:00 PM","Sat","Mississippi State","@","Southern Mississippi","",0
"59","1","Sep 5, 2015","4:00 PM","Sat","(24) Missouri","","Southeast Missouri State","",0
"60","1","Sep 5, 2015","12:00 PM","Sat","Navy","","Colgate","",0
"61","1","Sep 5, 2015","7:00 PM","Sat","New Mexico","","Mississippi Valley State","",0
"62","1","Sep 5, 2015","6:00 PM","Sat","North Carolina State","","Troy","",0
"63","1","Sep 5, 2015","4:00 PM","Sat","North Dakota","@","Wyoming","",0
"64","1","Sep 5, 2015","7:30 PM","Sat","Northern Illinois","","Nevada-Las Vegas","",0
"65","1","Sep 5, 2015","12:00 PM","Sat","Northwestern","","(21) Stanford","",0
"66","1","Sep 5, 2015","7:30 PM","Sat","(11) Notre Dame","","Texas","",0
"67","1","Sep 5, 2015","7:00 PM","Sat","(19) Oklahoma","","Akron","",0
"68","1","Sep 5, 2015","3:30 PM","Sat","Old Dominion","@","Eastern Michigan","",0
"69","1","Sep 5, 2015","8:00 PM","Sat","(7) Oregon","","Eastern Washington","",0
"70","1","Sep 5, 2015","1:00 PM","Sat","Pittsburgh","","Youngstown State","",0
"71","1","Sep 5, 2015","2:00 PM","Sat","Portland State","@","Washington State","",0
"72","1","Sep 5, 2015","3:30 PM","Sat","Rice","","Wagner","",0
"73","1","Sep 5, 2015","12:00 PM","Sat","Rutgers","","Norfolk State","",0
"74","1","Sep 5, 2015","8:00 PM","Sat","San Diego State","","San Diego","",0
"75","1","Sep 5, 2015","6:00 PM","Sat","South Alabama","","Gardner-Webb","",0
"76","1","Sep 5, 2015","12:00 PM","Sat","South Dakota State","@","Kansas","",0
"77","1","Sep 5, 2015","7:00 PM","Sat","South Florida","","Florida A&M","",0
"78","1","Sep 5, 2015","11:00 PM","Sat","(8) Southern California","","Arkansas State","",0
"79","1","Sep 5, 2015","3:30 PM","Sat","Temple","","Penn State","",0
"80","1","Sep 5, 2015","4:00 PM","Sat","(25) Tennessee","","Bowling Green State","",0
"81","1","Sep 5, 2015","7:00 PM","Sat","Texas A&M","","(15) Arizona State","",0
"82","1","Sep 5, 2015","3:30 PM","Sat","Texas Tech","","Sam Houston State","",0
"83","1","Sep 5, 2015","3:30 PM","Sat","Tulsa","","Florida Atlantic","",0
"84","1","Sep 5, 2015","3:30 PM","Sat","(13) UCLA","","Virginia","",0
"85","1","Sep 5, 2015","7:30 PM","Sat","West Virginia","","Georgia Southern","",0
