Year,Team_Strengh_Last_Year,Team,Recruits,Class_Points,Conference,Picks,Points,QB_Drafted
2006,2.97040531406387,Air Force,16,47.1,M-West,0,0,0
2006,-1.14738797399734,Akron,22,93.17,MAC,1,3.6,0
2006,18.1095966806498,Alabama,25,225.2,SEC,5,33.9,1
2006,2.34355714539749,Alabama-Birmingham,23,140.47,C-USA,0,0,0
2006,-5.51355307508086,Appalachian State,1,0,SBC,0,0,0
2006,11.4644121466865,Arizona,21,211.12,Pac-12,1,0.1,0
2006,18.3896962511167,Arizona State,24,181.72,Pac-12,2,10.6,0
2006,9.68787164731813,Arkansas,26,193.11,SEC,1,0.1,0
2006,-12.6256543370506,Arkansas State,22,64.59,SBC,0,0,0
2006,-0.989676857694942,Army,18,47.81,IND,0,0,0
2006,23.3126983878543,Auburn,26,239.13,SEC,4,10,0
2006,-8.97859534011407,Ball State,21,93.19,MAC,0,0,0
2006,6.58978515972127,Baylor,27,140.4,Big-12,1,0.1,0
2006,10.8415144107799,Boise State,18,98.48,M-West,1,10.1,0
2006,19.5731219023711,Boston College,20,153.33,ACC,3,25.5,0
2006,3.42553410283952,Bowling Green State,20,91.53,MAC,1,2.1,1
2006,10.0952944465787,Brigham Young,26,124.31,IND,1,0.3,0
2006,-19.6591837373467,Buffalo,15,93.15,MAC,0,0,0
2006,-30.4591093193103,Cal Poly,NA,NA,NA,0,0,0
2006,19.2801332819619,California,20,212.06,Pac-12,3,4.2,0
2006,18.6947901976811,California-Davis,NA,NA,NA,0,0,0
2006,1.21400749180437,Central Florida,21,107.29,AAC,1,4.2,0
2006,3.33338150720087,Central Michigan,25,68.06,MAC,0,0,0
2006,-39.4639877424679,Chattanooga,NA,NA,NA,0,0,0
2006,-3.10799378061948,Cincinnati,17,73.15,AAC,0,0,0
2006,-25.9343985564744,Citadel,NA,NA,NA,0,0,0
2006,16.0931634767852,Clemson,22,228.29,ACC,3,24.1,1
2006,14.6506079659527,Colorado,21,141.77,Pac-12,4,16.5,0
2006,3.16311032843828,Colorado State,22,105.91,M-West,1,0.1,0
2006,6.65494293130883,Connecticut,20,87.76,AAC,0,0,0
2006,-13.5808254706726,Duke,25,148.49,ACC,0,0,0
2006,-2.60693998340312,East Carolina,26,110.37,AAC,1,3.7,0
2006,-21.2581345955981,Eastern Illinois,NA,NA,NA,0,0,0
2006,-30.253782875987,Eastern Kentucky,NA,NA,NA,0,0,0
2006,-4.93645225536074,Eastern Michigan,22,51.57,MAC,0,0,0
2006,-21.6756248067443,Eastern Washington,NA,NA,NA,0,0,0
2006,18.5373242011064,Florida,24,287.34,SEC,3,13.1,0
2006,-21.8196412783622,Florida A&M,NA,NA,NA,0,0,0
2006,-20.084579931095,Florida Atlantic,20,31.38,C-USA,0,0,0
2006,-14.6321977823567,Florida International,24,89.02,C-USA,0,0,0
2006,16.7782802136654,Florida State,30,272.2,ACC,8,88,0
2006,16.2276587421259,Fresno State,20,95.41,M-West,3,11.5,0
2006,21.9283771503553,Georgia,26,286.11,SEC,7,27.5,1
2006,10.699152865656,Georgia Tech,17,131.08,ACC,3,11.9,0
2006,-26.5627949459985,Grambling State,NA,NA,NA,1,5.8,0
2006,-1.77802410135996,Hawaii,18,61.01,M-West,0,0,0
