"Game_Num","Week","Date","Time","Day","Home","Location","Away","Notes","Neutral"
"1","1","Aug 26, 2016","10:00 PM","Fri","Hawaii",NA,"California","ANZ Stadium - Sydney,",1
"2","2","Sep 1, 2016","7:00 PM","Thu","Central Michigan",NA,"Presbyterian","",0
"3","2","Sep 1, 2016","12:00 PM","Thu","Cincinnati",NA,"Tennessee-Martin","",0
"4","2","Sep 1, 2016","12:00 PM","Thu","Connecticut",NA,"Maine","",0
"5","2","Sep 1, 2016","7:30 PM","Thu","Florida International",NA,"Indiana","",0
"6","2","Sep 1, 2016","12:00 PM","Thu","Idaho",NA,"Montana State","",0
"7","2","Sep 1, 2016","7:00 PM","Thu","Louisville",NA,"Charlotte","",0
"8","2","Sep 1, 2016","12:00 PM","Thu","Minnesota",NA,"Oregon State","",0
"9","2","Sep 1, 2016","12:00 PM","Thu","Nevada-Las Vegas",NA,"Jackson State","",0
"10","2","Sep 1, 2016","7:30 PM","Thu","North Carolina State",NA,"William & Mary","",0
"11","2","Sep 1, 2016","7:30 PM","Thu","Tennessee",NA,"Appalachian State","",0
"12","2","Sep 1, 2016","12:00 PM","Thu","Utah",NA,"Southern Utah","",0
"13","2","Sep 1, 2016","12:00 PM","Thu","Utah State",NA,"Weber State","",0
"14","2","Sep 1, 2016","8:00 PM","Thu","Vanderbilt",NA,"South Carolina","",0
"15","2","Sep 1, 2016","7:00 PM","Thu","Wake Forest",NA,"Tulane","",0
"16","2","Sep 1, 2016","8:00 PM","Thu","Western Kentucky",NA,"Rice","",0
"17","2","Sep 2, 2016","9:00 PM","Fri","Arkansas State",NA,"Toledo","",0
"18","2","Sep 2, 2016","7:30 PM","Fri","Baylor",NA,"Northwestern State","",0
"19","2","Sep 2, 2016","7:00 PM","Fri","Buffalo",NA,"Albany","",0
"20","2","Sep 2, 2016","8:00 PM","Fri","Colorado State",NA,"Colorado","Sports Authority Field - Denver, Colorado",1
"21","2","Sep 2, 2016","6:00 PM","Fri","Eastern Michigan",NA,"Mississippi Valley State","",0
"22","2","Sep 2, 2016","12:00 PM","Fri","Georgia State",NA,"Ball State","",0
"23","2","Sep 2, 2016","7:00 PM","Fri","Michigan State",NA,"Furman","",0
"24","2","Sep 2, 2016","9:30 PM","Fri","Nevada",NA,"Cal Poly","",0
"25","2","Sep 2, 2016","9:00 PM","Fri","Stanford",NA,"Kansas State","",0
"26","2","Sep 2, 2016","7:00 PM","Fri","Syracuse",NA,"Colgate","",0
"27","2","Sep 2, 2016","7:00 PM","Fri","Temple",NA,"Army","",0
"28","2","Sep 3, 2016","12:00 PM","Sat","Air Force",NA,"Abilene Christian","",0
"29","2","Sep 3, 2016","6:30 PM","Sat","Akron",NA,"Virginia Military Institute","",0
"30","2","Sep 3, 2016","12:00 PM","Sat","Arizona State",NA,"Northern Arizona","",0
"31","2","Sep 3, 2016","4:00 PM","Sat","Arkansas",NA,"Louisiana Tech","",0
"32","2","Sep 3, 2016","9:00 PM","Sat","Auburn",NA,"Clemson","",0
"33","2","Sep 3, 2016","10:30 PM","Sat","Brigham Young",NA,"Arizona","University of Phoenix Stadium - Glendale, Arizona",1
"34","2","Sep 3, 2016","12:00 PM","Sat","Central Florida",NA,"South Carolina State","",0
"35","2","Sep 3, 2016","6:00 PM","Sat","Duke",NA,"North Carolina Central","",0
"36","2","Sep 3, 2016","12:00 PM","Sat","East Carolina",NA,"Western Carolina","",0
