"RK","PLAYER","RESULT","PASS_EPA","RUN_EPA","SACK_EPA","PEN_EPA","TOTAL_EPA","ACT_PLAYS","RAW_QBR","TOTAL_QBR","Week","Team","Opponent","QB","QBshort","Win","Points_For"
1,"Brandon Allen, ARK","W 48-13  vs UTEP",9.2,-0.2,0,-0.1,8.9,21,99.8,99.7,1,"ARK","UTEP","Brandon Allen","Allen, B","W",48
2,"Malik Zaire, ND","W 38-3  vs TEX",7.7,0.1,-0.6,-0.2,6.9,34,92.9,95.5,1,"ND","TEX","Malik Zaire","Zaire, M","W",38
3,"Brent Stockstill, MTSU","W 70-14  vs JKST",10,0,-0.7,0.9,10.3,33,98.5,95.5,1,"MTSU","JKST","Brent Stockstill","Stockstill, B","W",70
4,"Deshaun Watson, CLEM","W 49-10  vs WOF",6.2,1.8,0,0.3,8.4,25,97.9,93.9,1,"CLEM","WOF","Deshaun Watson","Watson, D","W",49
5,"Will Grier, FLA","W 61-13  vs NMSU",4.1,1.7,-0.8,0,5,22,97.6,93.8,1,"FLA","NMSU","Will Grier","Grier, W","W",61
6,"Joel Stave, WIS","L 35-17  @ ALA",4.7,0,-1.7,1.1,4.2,44,70.1,93.5,1,"WIS","ALA","Joel Stave","Stave, J","L",17
7,"Tyler Stewart, NEV","W 31-17  vs UCD",4.3,2.8,-0.7,1.4,7.7,31,97.8,93.4,1,"NEV","UCD","Tyler Stewart","Stewart, T","W",31
8,"Wes Lunt, ILL","W 52-3  vs KENT",3.4,0,0,0.3,3.6,24,92,93.3,1,"ILL","KENT","Wes Lunt","Lunt, W","W",52
9,"Michael Brewer, VT","L 42-24  vs OSU",5.3,0,-1.1,-0.1,4.1,21,82.8,92.6,1,"VT","OSU","Michael Brewer","Brewer, M","L",24
10,"Treon Harris, FLA","W 61-13  vs NMSU",4.4,-0.1,0,0,4.3,24,97,92.3,1,"FLA","NMSU","Treon Harris","Harris, T","W",61
11,"Cardale Jones, OSU","W 42-24  @ VT",4.1,2.8,0,1.6,8.5,38,87.4,92.3,1,"OSU","VT","Cardale Jones","Jones, C","W",42
12,"Connor White, TXST","L 59-16  @ FSU",0.4,0.2,0,0,0.5,20,82.9,92.2,1,"TXST","FSU","Connor White","White, C","L",16
13,"Josh Rosen, UCLA","W 34-16  vs UVA",9.1,0,-0.3,0.7,9.5,40,90.8,92.1,1,"UCLA","UVA","Josh Rosen","Rosen, J","W",34
14,"Connor Cook, MSU","W 37-24  @ WMU",7,0,0,1.2,8.2,35,91.6,90.1,1,"MSU","WMU","Connor Cook","Cook, C","W",37
15,"Joe Gray, SJSU","W 43-13  vs UNH",6.2,0.3,0,-0.1,6.4,23,96.5,90,1,"SJSU","UNH","Joe Gray","Gray, J","W",43
16,"Kenny Potter, SJSU","W 43-13  vs UNH",3.2,1.7,-1.1,0,3.7,22,96.4,89.8,1,"SJSU","UNH","Kenny Potter","Potter, K","W",43
17,"Taylor Lamb, APP","W 49-0  vs HOW",4.9,0.6,0,0.7,6.3,28,95.8,88.1,1,"APP","HOW","Taylor Lamb","Lamb, T","W",49
18,"Jacoby Brissett, NCST","W 49-21  vs TROY",7.4,-1.1,-0.8,0.9,6.4,32,90.9,87.4,1,"NCST","TROY","Jacoby Brissett","Brissett, J","W",49
