"Team","Team_Schedule","Team_Recruit","Team_Draft"
"Arizona State","Arizona State","Arizona State","Arizona State"
"Cincinnati","Cincinnati","Cincinnati","Cincinnati"
"Connecticut","Connecticut","Connecticut","Connecticut"
"Marshall","Marshall","Marshall","Marshall"
"Tulsa","Tulsa","Tulsa","Tulsa"
"Louisiana-Monroe","Louisiana-Monroe","Louisiana-Monroe","La-Monroe"
"Houston","Houston","Houston","Houston"
"South Carolina","South Carolina","South Carolina","South Carolina"
"Toledo","Toledo","Toledo","Toledo"
"Wake Forest","Wake Forest","Wake Forest","Wake Forest"
"Washington State","Washington State","Washington State","Washington State"
"Central Michigan","Central Michigan","Central Michigan","Central Michigan"
"Utah","Utah","Utah","Utah"
"Washington","Washington","Washington","Washington"
"Alabama","Alabama","Alabama","Alabama"
"Arkansas","Arkansas","Arkansas","Arkansas"
"Southern Methodist","Southern Methodist","SMU","SMU"
"Brigham Young","Brigham Young","Brigham Young","BYU"
"California","California","California","California"
"Clemson","Clemson","Clemson","Clemson"
"Colorado","Colorado","Colorado","Colorado"
"East Carolina","East Carolina","East Carolina","East Carolina"
"Florida","Florida","Florida","Florida"
"Georgia","Georgia","Georgia","Georgia"
"Auburn","Auburn","Auburn","Auburn"
"Illinois","Illinois","Illinois","Illinois"
"Iowa","Iowa","Iowa","Iowa"
"Iowa State","Iowa State","Iowa State","Iowa State"
"Kansas","Kansas","Kansas","Kansas"
"Kansas State","Kansas State","Kansas State","Kansas State"
"Maryland","Maryland","Maryland","Maryland"
"Michigan","Michigan","Michigan","Michigan"
"Michigan State","Michigan State","Michigan State","Michigan State"
"Mississippi State","Mississippi State","Mississippi State","Mississippi State"
"Missouri","Missouri","Missouri","Missouri"
"Nebraska","Nebraska","Nebraska","Nebraska"
"Northwestern","Northwestern","Northwestern","Northwestern"
"Pittsburgh","Pittsburgh","Pittsburgh","Pittsburgh"
"Ohio State","Ohio State","Ohio State","Ohio State"
"Oklahoma State","Oklahoma State","Oklahoma State","Oklahoma State"
"Oregon State","Oregon State","Oregon State","Oregon State"
"Penn State","Penn State","Penn State","Penn State"
"San Jose State","San Jose State","San Jose State","San Jose State"
"Hawaii","Hawaii","Hawaii","Hawaii"
"Tennessee","Tennessee","Tennessee","Tennessee"
"Texas","Texas","Texas","Texas"
"Oklahoma","Oklahoma","Oklahoma","Oklahoma"
"New Mexico State","New Mexico State","New Mexico State","New Mexico State"
"Troy","Troy","Troy","Troy"
"San Diego State","San Diego State","San Diego State","San Diego State"
"Virginia","Virginia","Virginia","Virginia"
"Wisconsin","Wisconsin","Wisconsin","Wisconsin"
"Kentucky","Kentucky","Kentucky","Kentucky"
"North Carolina State","North Carolina State","N.C. State","North Carolina State"
"Syracuse","Syracuse","Syracuse","Syracuse"
"Florida State","Florida State","Florida State","Florida State"
"Memphis","Memphis","Memphis","Memphis"
"New Mexico","New Mexico","New Mexico","New Mexico"
"Florida Atlantic","Florida Atlantic","Florida Atlantic","Florida Atlantic"
"Ohio","Ohio","Ohio","Ohio"
"Nevada","Nevada","Nevada","Nevada"
"Air Force","Air Force","Air Force",NA
"Arizona","Arizona","Arizona","Arizona"
"Arkansas State","Arkansas State","Arkansas State","Arkansas State"
"Baylor","Baylor","Baylor","Baylor"
"Boston College","Boston College","Boston College","Boston Col."
"Ball State","Ball State","Ball State","Ball State"
"Miami (OH)","Miami (OH)","Miami (OH)","Miami (OH)"
"Eastern Michigan","Eastern Michigan","Eastern Michigan","East. Michigan"
"Fresno State","Fresno State","Fresno State","Fresno State"
"Georgia Tech","Georgia Tech","Georgia Tech","Georgia Tech"
"Indiana","Indiana","Indiana","Indiana"
"Kent State","Kent State","Kent State","Kent State"
"Minnesota","Minnesota","Minnesota","Minnesota"
"Nevada-Las Vegas","Nevada-Las Vegas","UNLV","UNLV"
"Middle Tennessee State","Middle Tennessee State","Middle Tennessee State","Middle Tenn. State"
"Oregon","Oregon","Oregon","Oregon"
"Purdue","Purdue","Purdue","Purdue"
"Rutgers","Rutgers","Rutgers","Rutgers"
"South Florida","South Florida","USF","South Florida"
"Navy","Navy","Navy","Navy"
"Texas Tech","Texas Tech","Texas Tech","Texas Tech"
"UCLA","UCLA","UCLA","UCLA"
"Duke","Duke","Duke","Duke"
"West Virginia","West Virginia","West Virginia","West Virginia"
"Wyoming","Wyoming","Wyoming","Wyoming"
"Texas Christian","Texas Christian","TCU","TCU"
"Texas-El Paso","Texas-El Paso","UTEP","Texas-El Paso"
"Alabama-Birmingham","Alabama-Birmingham","UAB","Ala-Birmingham"
"Army","Army","Army","Army"
"Stanford","Stanford","Stanford","Stanford"
"Louisiana-Lafayette","Louisiana-Lafayette","Louisiana-Lafayette","La-Lafayette"
"Louisville","Louisville","Louisville","Louisville"
"Notre Dame","Notre Dame","Notre Dame","Notre Dame"
"Northern Illinois","Northern Illinois","Northern Illinois","Northern Illinois"
"Buffalo","Buffalo","Buffalo","Buffalo"
"Southern California","Southern California","USC","USC"
"Southern Mississippi","Southern Mississippi","Southern Miss","Southern Miss"
"Texas A&M","Texas A&M","Texas A&M","Texas A&M"
"Temple","Temple","Temple","Temple"
"North Texas","North Texas","North Texas",NA
"Vanderbilt","Vanderbilt","Vanderbilt","Vanderbilt"
"Virginia Tech","Virginia Tech","Virginia Tech","Virginia Tech"
"Western Michigan","Western Michigan","Western Michigan","West. Michigan"
"North Carolina","North Carolina","North Carolina","North Carolina"
"Boise State","Boise State","Boise State","Boise State"
"Akron","Akron","Akron","Akron"
"Central Florida","Central Florida","UCF","Central Florida"
"Colorado State","Colorado State","Colorado State","Colorado State"
"Idaho","Idaho","Idaho","Idaho"
"Miami (FL)","Miami (FL)",NA,"Miami (FL)"
"Utah State","Utah State","Utah State","Utah State"
"Mississippi","Mississippi","Ole Miss","Mississippi"
"Louisiana State","Louisiana State","LSU","LSU"
"Bowling Green State","Bowling Green State","Bowling Green","Bowling Green"
"Florida International","Florida International","FIU","Florida International"
"Louisiana Tech","Louisiana Tech","Louisiana Tech","Louisiana Tech"
"Tulane","Tulane","Tulane","Tulane"
"Rice","Rice","Rice","Rice"
"Western Kentucky","Western Kentucky","Western Kentucky","West. Kentucky"
"Indiana State","Indiana State",NA,NA
"Chattanooga","Chattanooga",NA,"Tenn-Chattanooga"
"Eastern Kentucky","Eastern Kentucky",NA,NA
"South Alabama","South Alabama","South Alabama",NA
